.y.	group1	group2	p	p.adj	p.format	p.signif	method
deseq.lfc.pds	0kb	<1kb	0.010546274465176435	0.032	0.01055	*	Wilcoxon
deseq.lfc.pds	0kb	<2.5kb	6.0582325731383276e-5	3.6e-4	6.1e-05	****	Wilcoxon
deseq.lfc.pds	0kb	<5kb	4.2113089465296585e-9	4.2e-8	4.2e-09	****	Wilcoxon
deseq.lfc.pds	0kb	<10kb	2.4310848314172835e-12	3.2e-11	2.4e-12	****	Wilcoxon
deseq.lfc.pds	0kb	>10kb	4.247352469067576e-16	6.4e-15	4.2e-16	****	Wilcoxon
deseq.lfc.pds	<1kb	<2.5kb	0.014996436236512119	0.032	0.01500	*	Wilcoxon
deseq.lfc.pds	<1kb	<5kb	8.875094626700281e-8	8e-7	8.9e-08	****	Wilcoxon
deseq.lfc.pds	<1kb	<10kb	3.2853371867117774e-11	3.9e-10	3.3e-11	****	Wilcoxon
deseq.lfc.pds	<1kb	>10kb	8.435852858163488e-14	1.2e-12	8.4e-14	****	Wilcoxon
deseq.lfc.pds	<2.5kb	<5kb	0.0025143437311414937	0.01	0.00251	**	Wilcoxon
deseq.lfc.pds	<2.5kb	<10kb	2.2828796802260373e-6	1.6e-5	2.3e-06	****	Wilcoxon
deseq.lfc.pds	<2.5kb	>10kb	1.0170205937828766e-10	1.1e-9	1.0e-10	****	Wilcoxon
deseq.lfc.pds	<5kb	<10kb	0.034851897947818816	0.035	0.03485	*	Wilcoxon
deseq.lfc.pds	<5kb	>10kb	7.537921704315663e-7	6e-6	7.5e-07	****	Wilcoxon
deseq.lfc.pds	<10kb	>10kb	3.539101490937081e-4	0.0018	0.00035	***	Wilcoxon
