.y.	group1	group2	p	p.adj	p.format	p.signif	method
deseq.lfc.pdc	0kb	<1kb	4.389911303338837e-8	6.6e-7	4.4e-08	****	Wilcoxon
deseq.lfc.pdc	0kb	<2.5kb	9.25388163835408e-6	1.3e-4	9.3e-06	****	Wilcoxon
deseq.lfc.pdc	0kb	<5kb	4.5614994423966415e-4	0.0055	0.00046	***	Wilcoxon
deseq.lfc.pdc	0kb	<10kb	5.802928886081738e-5	7.5e-4	5.8e-05	****	Wilcoxon
deseq.lfc.pdc	0kb	>10kb	0.26902908586774577	1	0.26903	ns	Wilcoxon
deseq.lfc.pdc	<1kb	<2.5kb	0.6785535448828395	1	0.67855	ns	Wilcoxon
deseq.lfc.pdc	<1kb	<5kb	0.32735338451563134	1	0.32735	ns	Wilcoxon
deseq.lfc.pdc	<1kb	<10kb	0.5631568732260097	1	0.56316	ns	Wilcoxon
deseq.lfc.pdc	<1kb	>10kb	0.17935700519166803	1	0.17936	ns	Wilcoxon
deseq.lfc.pdc	<2.5kb	<5kb	0.580622540195042	1	0.58062	ns	Wilcoxon
deseq.lfc.pdc	<2.5kb	<10kb	0.43460164303739574	1	0.43460	ns	Wilcoxon
deseq.lfc.pdc	<2.5kb	>10kb	0.2411008581695474	1	0.24110	ns	Wilcoxon
deseq.lfc.pdc	<5kb	<10kb	0.23464217766628287	1	0.23464	ns	Wilcoxon
deseq.lfc.pdc	<5kb	>10kb	0.3984455651669649	1	0.39845	ns	Wilcoxon
deseq.lfc.pdc	<10kb	>10kb	0.13588848615561158	1	0.13589	ns	Wilcoxon
