.y.	group1	group2	p	p.adj	p.format	p.signif	method
deseq.lfc.pdc	0kb	<1kb	1.3652675736581914e-12	1.9e-11	1.4e-12	****	Wilcoxon
deseq.lfc.pdc	0kb	<2.5kb	4.2774239025794454e-16	6.4e-15	4.3e-16	****	Wilcoxon
deseq.lfc.pdc	0kb	<5kb	8.202775510659077e-8	9e-7	8.2e-08	****	Wilcoxon
deseq.lfc.pdc	0kb	<10kb	1.2150398317511135e-5	1.1e-4	1.2e-05	****	Wilcoxon
deseq.lfc.pdc	0kb	>10kb	0.3209218227150154	0.64	0.32092	ns	Wilcoxon
deseq.lfc.pdc	<1kb	<2.5kb	0.04516677612729059	0.19	0.04517	*	Wilcoxon
deseq.lfc.pdc	<1kb	<5kb	0.050203615016784754	0.19	0.05020	ns	Wilcoxon
deseq.lfc.pdc	<1kb	<10kb	0.03741104001361284	0.19	0.03741	*	Wilcoxon
deseq.lfc.pdc	<1kb	>10kb	1.5759518641311162e-8	1.9e-7	1.6e-08	****	Wilcoxon
deseq.lfc.pdc	<2.5kb	<5kb	2.9742325265204523e-4	0.0021	0.00030	***	Wilcoxon
deseq.lfc.pdc	<2.5kb	<10kb	6.329936342455134e-4	0.0038	0.00063	***	Wilcoxon
deseq.lfc.pdc	<2.5kb	>10kb	2.1476354405513742e-10	2.8e-9	2.1e-10	****	Wilcoxon
deseq.lfc.pdc	<5kb	<10kb	0.6070030138299154	0.64	0.60700	ns	Wilcoxon
deseq.lfc.pdc	<5kb	>10kb	3.767909445847451e-6	3.8e-5	3.8e-06	****	Wilcoxon
deseq.lfc.pdc	<10kb	>10kb	7.03267306193572e-5	5.6e-4	7.0e-05	****	Wilcoxon
