.y.	group1	group2	p	p.adj	p.format	p.signif	method
deseq.lfc.pds	0kb	<1kb	0.10538858212334264	1	0.11	ns	Wilcoxon
deseq.lfc.pds	0kb	<2.5kb	0.26590731331593614	1	0.27	ns	Wilcoxon
deseq.lfc.pds	0kb	<5kb	0.5365579508359775	1	0.54	ns	Wilcoxon
deseq.lfc.pds	0kb	<10kb	0.5020712520115619	1	0.50	ns	Wilcoxon
deseq.lfc.pds	0kb	>10kb	0.4655867064395838	1	0.47	ns	Wilcoxon
deseq.lfc.pds	<1kb	<2.5kb	0.7564048842925901	1	0.76	ns	Wilcoxon
deseq.lfc.pds	<1kb	<5kb	0.44814524890152496	1	0.45	ns	Wilcoxon
deseq.lfc.pds	<1kb	<10kb	0.7215232408791805	1	0.72	ns	Wilcoxon
deseq.lfc.pds	<1kb	>10kb	0.9439105956132974	1	0.94	ns	Wilcoxon
deseq.lfc.pds	<2.5kb	<5kb	0.6555784104971409	1	0.66	ns	Wilcoxon
deseq.lfc.pds	<2.5kb	<10kb	0.8790068081587878	1	0.88	ns	Wilcoxon
deseq.lfc.pds	<2.5kb	>10kb	0.8368219287152693	1	0.84	ns	Wilcoxon
deseq.lfc.pds	<5kb	<10kb	0.8374253696898508	1	0.84	ns	Wilcoxon
deseq.lfc.pds	<5kb	>10kb	0.675899152325375	1	0.68	ns	Wilcoxon
deseq.lfc.pds	<10kb	>10kb	0.7832340998438342	1	0.78	ns	Wilcoxon
