.y.	group1	group2	p	p.adj	p.format	p.signif	method
deseq.lfc.pds	<1kb	<2.5kb	0.6519201461476166	1	0.65192	ns	Wilcoxon
deseq.lfc.pds	<1kb	<5kb	0.36696736593944107	1	0.36697	ns	Wilcoxon
deseq.lfc.pds	<1kb	<10kb	0.20817823641988717	1	0.20818	ns	Wilcoxon
deseq.lfc.pds	<1kb	<50kb	0.05018297490396027	0.4	0.05018	ns	Wilcoxon
deseq.lfc.pds	<2.5kb	<5kb	0.286836402691029	1	0.28684	ns	Wilcoxon
deseq.lfc.pds	<2.5kb	<10kb	0.21650908465172417	1	0.21651	ns	Wilcoxon
deseq.lfc.pds	<2.5kb	<50kb	0.416276332623647	1	0.41628	ns	Wilcoxon
deseq.lfc.pds	<5kb	<10kb	0.8374283865783085	1	0.83743	ns	Wilcoxon
deseq.lfc.pds	<5kb	<50kb	0.008862345030063886	0.08	0.00886	**	Wilcoxon
deseq.lfc.pds	<10kb	<50kb	3.9191519994629656e-4	0.0039	0.00039	***	Wilcoxon
