.y.	group1	group2	p	p.adj	p.format	p.signif	method
deseq.lfc.pds	<1kb	<2.5kb	0.4889238283896095	1	0.4889	ns	Wilcoxon
deseq.lfc.pds	<1kb	<5kb	0.10729628740411701	0.54	0.1073	ns	Wilcoxon
deseq.lfc.pds	<1kb	<10kb	0.00515735614495067	0.031	0.0052	**	Wilcoxon
deseq.lfc.pds	<1kb	<50kb	1.1120508518535e-15	1.1e-14	1.1e-15	****	Wilcoxon
deseq.lfc.pds	<2.5kb	<5kb	0.5327895611134076	1	0.5328	ns	Wilcoxon
deseq.lfc.pds	<2.5kb	<10kb	0.1858092279188819	0.74	0.1858	ns	Wilcoxon
deseq.lfc.pds	<2.5kb	<50kb	6.2227598462011265e-6	4.4e-5	6.2e-06	****	Wilcoxon
deseq.lfc.pds	<5kb	<10kb	0.402046482250811	1	0.4020	ns	Wilcoxon
deseq.lfc.pds	<5kb	<50kb	2.0519122118755853e-6	1.6e-5	2.1e-06	****	Wilcoxon
deseq.lfc.pds	<10kb	<50kb	1.1571725113643546e-6	1e-5	1.2e-06	****	Wilcoxon
