pro	.y.	group1	group2	p	p.adj	p.format	p.signif	method
noPro	deseq.lfc.pds	0kb	<1kb	0.010545162084033593	0.19	0.01055	*	Wilcoxon
noPro	deseq.lfc.pds	0kb	<2.5kb	6.059051581748342e-5	0.0013	6.1e-05	****	Wilcoxon
noPro	deseq.lfc.pds	0kb	<5kb	4.210909982017685e-9	1.1e-7	4.2e-09	****	Wilcoxon
noPro	deseq.lfc.pds	0kb	<10kb	2.4300927058681983e-12	6.8e-11	2.4e-12	****	Wilcoxon
noPro	deseq.lfc.pds	0kb	>10kb	4.243972000156833e-16	1.3e-14	4.2e-16	****	Wilcoxon
noPro	deseq.lfc.pds	<1kb	<2.5kb	0.014996436263545545	0.25	0.01500	*	Wilcoxon
noPro	deseq.lfc.pds	<1kb	<5kb	8.877342246524725e-8	2.1e-6	8.9e-08	****	Wilcoxon
noPro	deseq.lfc.pds	<1kb	<10kb	3.283533926079303e-11	8.9e-10	3.3e-11	****	Wilcoxon
noPro	deseq.lfc.pds	<1kb	>10kb	8.440530761380923e-14	2.4e-12	8.4e-14	****	Wilcoxon
noPro	deseq.lfc.pds	<2.5kb	<5kb	0.002514947711700949	0.048	0.00251	**	Wilcoxon
noPro	deseq.lfc.pds	<2.5kb	<10kb	2.282879704315384e-6	5e-5	2.3e-06	****	Wilcoxon
noPro	deseq.lfc.pds	<2.5kb	>10kb	1.0172541769865314e-10	2.6e-9	1.0e-10	****	Wilcoxon
noPro	deseq.lfc.pds	<5kb	<10kb	0.03483931391499601	0.56	0.03484	*	Wilcoxon
noPro	deseq.lfc.pds	<5kb	>10kb	7.537340421214501e-7	1.7e-5	7.5e-07	****	Wilcoxon
noPro	deseq.lfc.pds	<10kb	>10kb	3.5393349030439367e-4	0.0071	0.00035	***	Wilcoxon
Pro	deseq.lfc.pds	0kb	<1kb	0.10538858212334264	1	0.10539	ns	Wilcoxon
Pro	deseq.lfc.pds	0kb	<2.5kb	0.26590731331593614	1	0.26591	ns	Wilcoxon
Pro	deseq.lfc.pds	0kb	<5kb	0.5365579508359775	1	0.53656	ns	Wilcoxon
Pro	deseq.lfc.pds	0kb	<10kb	0.5020712520115619	1	0.50207	ns	Wilcoxon
Pro	deseq.lfc.pds	0kb	>10kb	0.4655867064395838	1	0.46559	ns	Wilcoxon
Pro	deseq.lfc.pds	<1kb	<2.5kb	0.7564048842925901	1	0.75640	ns	Wilcoxon
Pro	deseq.lfc.pds	<1kb	<5kb	0.44814524890152496	1	0.44815	ns	Wilcoxon
Pro	deseq.lfc.pds	<1kb	<10kb	0.7215232408791805	1	0.72152	ns	Wilcoxon
Pro	deseq.lfc.pds	<1kb	>10kb	0.9439105956132974	1	0.94391	ns	Wilcoxon
Pro	deseq.lfc.pds	<2.5kb	<5kb	0.6555784104971409	1	0.65558	ns	Wilcoxon
Pro	deseq.lfc.pds	<2.5kb	<10kb	0.8790068081587878	1	0.87901	ns	Wilcoxon
Pro	deseq.lfc.pds	<2.5kb	>10kb	0.8368219287152693	1	0.83682	ns	Wilcoxon
Pro	deseq.lfc.pds	<5kb	<10kb	0.8374253696898508	1	0.83743	ns	Wilcoxon
Pro	deseq.lfc.pds	<5kb	>10kb	0.675899152325375	1	0.67590	ns	Wilcoxon
Pro	deseq.lfc.pds	<10kb	>10kb	0.7832340998438342	1	0.78323	ns	Wilcoxon
