.y.	group1	group2	p	p.adj	p.format	p.signif	method
deseq.lfc.pdc	<1kb	<2.5kb	9.132243001354988e-13	6.4e-12	9.1e-13	****	Wilcoxon
deseq.lfc.pdc	<1kb	<5kb	1.1810490019867974e-15	9.4e-15	1.2e-15	****	Wilcoxon
deseq.lfc.pdc	<1kb	<10kb	1.2524306897633716e-17	1.1e-16	< 2e-16	****	Wilcoxon
deseq.lfc.pdc	<1kb	<50kb	1.0756945883357703e-44	1.1e-43	< 2e-16	****	Wilcoxon
deseq.lfc.pdc	<2.5kb	<5kb	0.8224210055287444	1	0.82242	ns	Wilcoxon
deseq.lfc.pdc	<2.5kb	<10kb	0.37083448641159594	1	0.37083	ns	Wilcoxon
deseq.lfc.pdc	<2.5kb	<50kb	0.19775721534049276	0.79	0.19776	ns	Wilcoxon
deseq.lfc.pdc	<5kb	<10kb	0.4430355838944434	1	0.44304	ns	Wilcoxon
deseq.lfc.pdc	<5kb	<50kb	0.05709152369977653	0.29	0.05709	ns	Wilcoxon
deseq.lfc.pdc	<10kb	<50kb	2.468770372222133e-4	0.0015	0.00025	***	Wilcoxon
